# EMODnet Human Activities — vessel density, 2021-07, leisure ship types.
# source:  https://ows.emodnet-humanactivities.eu/geonetwork/srv/api/records/0f2f3ff1-30ef-49e1-96e7-8ca78d58a07c
# zips:    https://ows.emodnet-humanactivities.eu/geonetwork/srv/api/records/0f2f3ff1-30ef-49e1-96e7-8ca78d58a07c/attachments/EMODnet_HA_Vessel_Density_0[45].zip
# members: vesseldensity_04_20210701.tif (04 = Sailing),
#          vesseldensity_05_20210701.tif (05 = Pleasure Craft)
# licence: Creative Commons CC-BY 4.0 (as stated in the dataset's
#          ISO-19139 metadata inside each zip) — attribution required.
# crs:     EPSG:3035 (ETRS89 / LAEA Europe), 1000 x 1000 m pixels,
#          equal-area, so one pixel is exactly 1 km2.
# unit:    hours per square kilometre per month. EMODnet builds it by
#          drawing a line between consecutive positions of one ship and
#          intersecting it with the 1 km grid, so it is TRACK time, not
#          message count. Per 1 km2 pixel, hours/km2 = hours.
# rows:    pixel CENTRES reprojected to WGS84, kept where the centre is
#          inside lat 53.0-59.0, lon 3.0-17.0 (the project bbox)
#          AND at least one of the two types is > 0. Sorted by lat, lon.
# lon	lat	hours_sailing	hours_pleasure
5.069064	53.035953	13.0650	7.1044
4.650456	53.036078	1.1296	1.0001
4.859764	53.036197	131.5793	82.6002
4.456014	53.036281	0.0829	0.0000
4.081976	53.036476	0.0000	0.0150
5.083941	53.036561	20.9890	9.4053
4.665328	53.036738	1.6320	0.8984
4.874638	53.036832	21.6119	12.5630
4.470883	53.036965	0.0000	0.0646
5.098819	53.037168	23.2326	11.1182
4.096841	53.037207	0.0098	0.0429
4.680200	53.037397	10.0515	4.0051
4.889513	53.037465	10.0291	6.8009
4.485753	53.037648	0.0000	0.0175
5.113696	53.037773	23.3110	11.4263
4.111705	53.037936	0.0769	0.0052
3.932105	53.038019	0.0210	0.0000
4.695073	53.038054	5.5684	3.2082
4.904388	53.038096	2.3572	1.7392
4.500623	53.038329	0.1812	0.0480
5.128575	53.038377	23.0970	10.8166
4.126571	53.038663	0.0145	0.0000
4.709946	53.038709	0.7737	0.7939
4.919264	53.038725	0.8148	5.8688
3.946967	53.038768	0.0767	0.0000
5.143453	53.038978	23.6623	10.9638
4.515494	53.039008	0.2613	0.0879
4.934140	53.039352	0.5776	0.5526
4.724820	53.039362	0.6087	0.4393
3.961830	53.039515	0.0088	0.0000
5.158332	53.039578	22.1687	10.6962
4.530365	53.039685	0.0937	0.1815
4.949017	53.039977	1.2229	0.5743
5.173211	53.040176	10.6868	5.6750
4.545236	53.040360	0.3842	0.0000
4.350772	53.040393	0.0560	0.0000
4.963894	53.040601	1.4411	0.7906
3.302783	53.040669	0.0161	0.0000
5.188091	53.040771	0.4347	0.4674
4.560108	53.041033	0.1376	0.1532
4.365641	53.041090	0.0115	0.0000
4.978771	53.041223	1.4526	1.1519
5.202971	53.041366	0.0718	0.0000
3.317637	53.041496	0.0959	0.0000
4.574981	53.041705	0.7734	0.3425
4.993649	53.041843	0.8436	0.7637
5.217852	53.041958	0.1364	0.0101
4.200903	53.042270	0.0000	0.0368
3.332491	53.042321	0.0000	0.0366
4.589854	53.042375	1.1570	0.3440
5.008527	53.042461	0.9767	0.6923
4.395381	53.042480	0.0190	0.0412
4.021287	53.042486	0.0462	0.0000
5.232732	53.042548	0.2022	0.2814
4.215771	53.042986	0.0000	0.0706
4.604727	53.043043	2.6677	0.5764
5.023406	53.043077	1.3233	1.0876
5.247614	53.043137	0.3357	0.1556
3.347346	53.043144	0.0000	0.0325
4.410252	53.043172	0.0576	0.1443
4.036153	53.043224	0.0516	0.0000
5.038285	53.043692	9.9288	4.8413
4.619600	53.043709	2.1902	1.2454
5.262495	53.043724	0.0954	0.8083
4.425123	53.043862	0.0765	0.0565
5.053164	53.044304	26.0992	13.0734
5.277377	53.044308	0.3472	1.1060
4.634475	53.044373	2.3202	1.7208
4.843823	53.044521	0.0128	107.8799
5.068044	53.044915	15.7390	7.3167
4.649349	53.045036	1.8191	0.4584
4.858700	53.045157	9957.9443	7016.4380
4.454866	53.045237	0.0778	0.0000
5.082924	53.045524	5.3117	3.1107
4.664224	53.045696	2.7636	1.5551
4.873577	53.045792	52.8901	18.3273
4.469739	53.045921	0.1030	0.0000
5.097804	53.046131	2.1636	1.3396
4.679099	53.046355	7.4581	3.4124
4.888455	53.046425	39.6429	17.8668
4.484612	53.046604	0.0000	0.0766
5.112685	53.046736	1.7811	1.0890
4.110487	53.046888	0.0000	0.0376
4.693975	53.047012	7.2440	3.1370
4.903334	53.047056	21.2998	12.0848
4.499485	53.047285	0.1130	0.0093
5.127566	53.047340	1.8863	1.0438
4.125355	53.047615	0.0534	0.0277
4.708851	53.047667	0.9607	0.8047
